"id","card_id","card_name","card_image","set_name","set_id","rarity","card_number","card_type","game_text","flavor_text","twilight","strength","vitality","kind","resistance","culture","home_site","created_at","subtype","type"
"1926","1R13","•Gimli, Son of Gloin","https://lotrtcgwiki.com/wiki/_media/cards:lotr01013.jpg","1","1","R","13","Companion Dwarf","Damage 1 . Skirmish Exert Gimli to make him strength 2.","","2","6","3","Free People","6","Dwarven","","2025-03-13 13:12:48.233363","Dwarf","Companion"
"1813","0P70","•Gandalf, Leader of the Company","https://lotrtcgwiki.com/wiki/_media/cards:lotr00070.jpg","0","0","P","70","Companion Wizard","While Gandalf is in region 1, each other companion is strength 2. While Gandalf is in region 2, each companion is strength 1. While Gandalf is in region 3, he is strength 2.","","4","7","4","Free People","7","Gandalf","","2025-03-13 13:12:09.108139","Wizard","Companion"
"2354","2C58","Foul Tentacle","https://lotrtcgwiki.com/wiki/_media/cards:lotr02058.jpg","2","2","C","58","Minioncreature","Tentacle . When you play this minion , you may play a tentacle from your draw deck . This minion may not bear possessions and is discarded if not at a marsh .","Its fingered end had hold of Frodo's foot, and was dragging him into the water.","2","4","1","Shadow","null","Moria","","2025-03-13 13:15:33.25901","Creature","Minion"
"4595","13RF4","•Gandalf, Bearer of Obligation","https://lotrtcgwiki.com/wiki/_media/cards:lotr13f04.jpg","13","13","RF","4","Companion Wizard","While Gandalf is the Ringbearer , each time the fellowship moves, add 3 burdens unless you spot 2 other companions and discard 2 Gandalf cards from hand.","","4","7","4","Free People","5","Gandalf","","2025-03-13 13:33:03.064334","Wizard","Companion"
"5225","19P20","Strong Tentacle","https://lotrtcgwiki.com/wiki/_media/cards:lotr19020.jpg","19","19","P","20","Minioncreature","Tentacle . This minion cannot bear possessions . Discard this minion from play if not at a marsh . This minion is strength 1 for each tentacle you spot.","","3","7","2","Shadow","null","Moria","","2025-03-13 13:38:47.315896","Creature","Minion"
"1811","0P68","•The One Ring, The Binding Ring","https://lotrtcgwiki.com/wiki/_media/cards:lotr00068.jpg","0","0","P","68","The One Ring","Fellowship Add 2 burdens to play a ring from your draw deck . Maneuver Exert bearer to wear The One Ring until the regroup phase . While wearing The One Ring , each time the Ringbearer is about to take a wound , add a burden instead.","","null","1","1","","null","","","2025-03-13 13:12:08.538981","null","The One Ring"
"2549","4R1","•The One Ring, Answer To All Riddles","https://lotrtcgwiki.com/wiki/_media/cards:lotr04001.jpg","4","4","R","1","The One Ring","While wearing The One Ring , the Ringbearer is strength 2, and each time he is about to take a wound in a skirmish , add a burden instead. Skirmish Add a burden to wear The One Ring until the regroup phase .","'thought to have perished from the world.'","null","null","2","","null","","","2025-03-13 13:16:41.426817","null","The One Ring"
"2550","4R1T","•The One Ring, The Answer To All Riddles","https://lotrtcgwiki.com/wiki/_media/cards:lotr04001t.jpg","4","4","R","1","The One Ring","While wearing The One Ring , the Ringbearer is strength 2, and each time he is about to take a wound in a skirmish , add a burden instead. Skirmish Add a burden to wear The One Ring until the regroup phase .","'thought to have perished from the world.'","null","null","2","","null","","","2025-03-13 13:16:41.75653","null","The One Ring"
"2551","4C2","•The One Ring, The Ruling Ring","https://lotrtcgwiki.com/wiki/_media/cards:lotr04002.jpg","4","4","C","2","The One Ring","Response If bearer is about to take a wound in a skirmish , he wears The One Ring until the regroup phase . While wearing The One Ring , each time the Ringbearer is about to take a wound during a skirmish , add a burden instead.","OneRingto rule them all.","null","1","null","","null","","","2025-03-13 13:16:42.109396","null","The One Ring"
"3196","7C1","•The One Ring, The Ruling Ring","https://lotrtcgwiki.com/wiki/_media/cards:lotr07001.jpg","7","7","C","1","The One Ring","Response If bearer is about to take a wound in a skirmish , he wears The One Ring until the regroup phase . While wearing The One Ring , each time the Ringbearer is about to take a wound during a skirmish , add a burden instead.","","null","1","null","","null","","","2025-03-13 13:21:27.287752","null","The One Ring"
